"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";"instrument";"rating";"outcome_category";"outcome_type";"mean_arm1";"sd_arm1";"mean_arm2";"sd_arm2";"n_arm1";"n_arm2";"baseline_mean_arm1";"baseline_sd_arm1";"baseline_mean_arm2";"baseline_sd_arm2";"source_of_participants";"sex_percentage_male";"mean_age";"country";"number_sessions";"time";"time_weeks";"year";"seq_gen";"alloc_conce";"blinding_assess";"missing_data";"vested_int";"selec_report";"d1";"d2";"d3";"d4";"d5";"rob";"event_arm1";"totaln_arm1";"event_arm2";"totaln_arm2";"mean_change_arm1";"sd_change_arm1";"n_change_arm1";"mean_change_arm2";"sd_change_arm2";"n_change_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"full_ref";".id";".g";".g_se";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2"
"Chacko, 2009";"BPT";"wl";"BPT";"wl";"DBD-HI";"parent";"ADHD HI";"msd";1,59;0,7;1,72;0,56;40;40;1,89;0,67;1,86;0,58;"Community";70,667;7,85;"USA";9;"post";NA;2009;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Chacko A, Wymbs BT, Wymbs FA, et al. (2009). Enhancing traditional behavioral parent training for single mothers of children with ADHD. J Clin Child Adolesc Psychol, 38(2):206-218.";"Chacko_2009_msd_DBD-HI_post_NA_parent_BPT_wl_BPT_wl";0,2031087875074346;0,2241938436756476;NA;NA;NA;NA;NA;NA
"Chacko, 2009";"BPT";"wl";"BPT";"wl";"Combined";"parent";"ADHD total";"msd";1,63;0,72;1,72;0,605;40;40;1,92;0,65;1,8650000000000002;0,5700000000000001;"Community";70,667;7,85;"USA";9;"post";NA;2009;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Chacko A, Wymbs BT, Wymbs FA, et al. (2009). Enhancing traditional behavioral parent training for single mothers of children with ADHD. J Clin Child Adolesc Psychol, 38(2):206-218.";"Chacko_2009_msd_Combined_post_NA_parent_BPT_wl_BPT_wl";0,1340347256108188;0,2238626390447405;NA;NA;NA;NA;NA;NA
"Chacko, 2009";"STEPP";"wl";"STEPP";"wl";"DBD-HI";"parent";"ADHD HI";"msd";1,69;0,57;1,72;0,56;40;40;1,94;0,49;1,86;0,58;"Community";70,667;7,85;"USA";9;"post";NA;2009;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Chacko A, Wymbs BT, Wymbs FA, et al. (2009). Enhancing traditional behavioral parent training for single mothers of children with ADHD. J Clin Child Adolesc Psychol, 38(2):206-218.";"Chacko_2009_msd_DBD-HI_post_NA_parent_STEPP_wl_STEPP_wl";0,05258309311943998;0,223646192501721;NA;NA;NA;NA;NA;NA
"Chacko, 2009";"STEPP";"wl";"STEPP";"wl";"DBD-I";"parent";"ADHD A";"msd";1,78;0,63;1,72;0,65;40;40;2,06;0,48;1,87;0,56;"Community";70,667;7,85;"USA";9;"post";NA;2009;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Chacko A, Wymbs BT, Wymbs FA, et al. (2009). Enhancing traditional behavioral parent training for single mothers of children with ADHD. J Clin Child Adolesc Psychol, 38(2):206-218.";"Chacko_2009_msd_DBD-I_post_NA_parent_STEPP_wl_STEPP_wl";-0,09283432754019887;0,2237295649503063;NA;NA;NA;NA;NA;NA
"Chacko, 2009";"STEPP";"wl";"STEPP";"wl";"Combined";"parent";"ADHD total";"msd";1,7349999999999999;0,6;1,72;0,605;40;40;2;0,485;1,8650000000000002;0,5700000000000001;"Community";70,667;7,85;"USA";9;"post";NA;2009;"?";"?";0;1;"?";"?";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Chacko A, Wymbs BT, Wymbs FA, et al. (2009). Enhancing traditional behavioral parent training for single mothers of children with ADHD. J Clin Child Adolesc Psychol, 38(2):206-218.";"Chacko_2009_msd_Combined_post_NA_parent_STEPP_wl_STEPP_wl";-0,02465589640416297;0,2236154597373484;NA;NA;NA;NA;NA;NA
"Corkum, 2019";"Teacher Help for ADHD";"wl";NA;NA;"Conners3T ADHD";"teacher";"ADHD total";"msd";71,02;14,57;77,85;14,69;28;30;79;14,92;79,07;15,4;"Community";87,931;8,83;"Canada";6;"post";NA;2019;1;"?";0;1;1;0;"Some concerns";"Some concerns";"Low";"Low";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Corkum, P., Elik, N., Blotnicky-Gallant, P. A. C., McGonnell, M., & McGrath, P. (2015). Web-Based Intervention for Teachers of Elementary Students With ADHD: randomized Controlled Trial, Journal of Attention Disorders, 1-13.";"Corkum_2019_msd_Conners3TADHD_post_NA_teacher_Intervention_wl_NA_NA";0,4604971453124095;0,2663191670272494;NA;NA;NA;NA;NA;NA
"Daley, 2013";"NFPP SH";"wl";NA;NA;"Child ADHD: PACS";"parent";"ADHD total";"msd";16,7;5,32;22,1;5,96;24;19;20,54;5,6;21,78;5,89;"Clinics";81,4;7,28;"UK";8;"post";NA;2013;1;1;0;"?";0;"?";"Some concerns";"Low";"High";"Low";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Daley, D., O’Brien, M. (2013). A small-scale randomized controlled trial of the self-help version of the New Forest Parent Training Programme for children with ADHD symptoms. Eur Child Adolesc Psychiatry, 22(9):543-552.";"Daley_2013_msd_ChildADHD:PACS_post_NA_parent_NFPPSH_wl_NA_NA";0,9448553208044975;0,324148127605319;NA;NA;NA;NA;NA;NA
"Daley, 2013";"NFPP SH";"wl";NA;NA;"Child ADHD: DuPaul hyperactive/impulsive";"parent";"ADHD HI";"msd";17,03;4,84;23,26;5,98;24;19;22,21;3,39;21,89;5,38;"Clinics";81,4;7,28;"UK";8;"post";NA;2013;1;1;0;"?";0;"?";"Some concerns";"Low";"High";"Low";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Daley, D., O’Brien, M. (2013). A small-scale randomized controlled trial of the self-help version of the New Forest Parent Training Programme for children with ADHD symptoms. Eur Child Adolesc Psychiatry, 22(9):543-552.";"Daley_2013_msd_ChildADHD:DuPaulhyperactive/impulsive_post_NA_parent_NFPPSH_wl_NA_NA";1,138718000319749;0,3315819924087425;NA;NA;NA;NA;NA;NA
"Daley, 2013";"NFPP SH";"wl";NA;NA;"Child ADHD: DuPaul inattention";"parent";"ADHD A";"msd";17,08;4,83;21,26;5,26;24;19;20,13;4,72;21,47;4,77;"Clinics";81,4;7,28;"UK";8;"post";NA;2013;1;1;0;"?";0;"?";"Some concerns";"Low";"High";"Low";"Some concerns";"High";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Daley, D., O’Brien, M. (2013). A small-scale randomized controlled trial of the self-help version of the New Forest Parent Training Programme for children with ADHD symptoms. Eur Child Adolesc Psychiatry, 22(9):543-552.";"Daley_2013_msd_ChildADHD:DuPaulinattention_post_NA_parent_NFPPSH_wl_NA_NA";0,8168047116395949;0,3199213654171202;NA;NA;NA;NA;NA;NA
"DuPaul, 2018";"F2F BPT";"wl";"F2F BPT";"wl";"Inattention/Overactivity (Conners CEBS)";"parent";"ADHD A";"msd";70,2;12,7;76,9;8,6;14;15;75,5;9,6;77,4;9,5;"Community";63,8;4,43;"USA";10;"post";NA;2018;"?";"?";0;1;"?";"?";"Some concerns";"Some concerns";"Low";"Some concerns";"Some concerns";"Some concerns";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"DuPaul, G. J., Kern, L., Belk, G,, et al. (2018) Face-to-Face Versus Online Behavioral Parent Training for Young Children at Risk for ADHD: Treatment Engagement and Outcomes. J Clin Child Adolesc Psychol. 47(1), S369-S383.";"DuPaul_2018_msd_Inattention/Overactivity(ConnersCEBS)_post_NA_parent_F2FBPT_wl_F2FBPT_wl";0,6046176354595272;0,3804824664672995;NA;NA;NA;NA;NA;NA
